Downloaded from wid.world on 25-03-2026 at 10:11:49
Percentile ;Year ;"sptinc_z_SE
Pre-tax national income 
Top 10% | share
Sweden"
p90p100;1820;0.4950000000000001
p90p100;1821;
p90p100;1822;
p90p100;1823;
p90p100;1824;
p90p100;1825;
p90p100;1826;
p90p100;1827;
p90p100;1828;
p90p100;1829;
p90p100;1830;
p90p100;1831;
p90p100;1832;
p90p100;1833;
p90p100;1834;
p90p100;1835;
p90p100;1836;
p90p100;1837;
p90p100;1838;
p90p100;1839;
p90p100;1840;
p90p100;1841;
p90p100;1842;
p90p100;1843;
p90p100;1844;
p90p100;1845;
p90p100;1846;
p90p100;1847;
p90p100;1848;
p90p100;1849;
p90p100;1850;0.5021
p90p100;1851;
p90p100;1852;
p90p100;1853;
p90p100;1854;
p90p100;1855;
p90p100;1856;
p90p100;1857;
p90p100;1858;
p90p100;1859;
p90p100;1860;
p90p100;1861;
p90p100;1862;
p90p100;1863;
p90p100;1864;
p90p100;1865;
p90p100;1866;
p90p100;1867;
p90p100;1868;
p90p100;1869;
p90p100;1870;
p90p100;1871;
p90p100;1872;
p90p100;1873;
p90p100;1874;
p90p100;1875;
p90p100;1876;
p90p100;1877;
p90p100;1878;
p90p100;1879;
p90p100;1880;0.5147
p90p100;1881;
p90p100;1882;
p90p100;1883;
p90p100;1884;
p90p100;1885;
p90p100;1886;
p90p100;1887;
p90p100;1888;
p90p100;1889;
p90p100;1890;
p90p100;1891;
p90p100;1892;
p90p100;1893;
p90p100;1894;
p90p100;1895;
p90p100;1896;
p90p100;1897;
p90p100;1898;
p90p100;1899;
p90p100;1900;0.5192
p90p100;1901;
p90p100;1902;
p90p100;1903;0.5085000000000001
p90p100;1904;
p90p100;1905;
p90p100;1906;
p90p100;1907;0.5045000000000001
p90p100;1908;
p90p100;1909;
p90p100;1910;0.4917
p90p100;1911;0.4817
p90p100;1912;0.4699
p90p100;1913;
p90p100;1914;
p90p100;1915;
p90p100;1916;0.4367
p90p100;1917;
p90p100;1918;
p90p100;1919;0.4004
p90p100;1920;0.381
p90p100;1921;
p90p100;1922;
p90p100;1923;
p90p100;1924;
p90p100;1925;
p90p100;1926;
p90p100;1927;
p90p100;1928;
p90p100;1929;
p90p100;1930;0.3955
p90p100;1931;
p90p100;1932;
p90p100;1933;
p90p100;1934;0.377
p90p100;1935;0.3762
p90p100;1936;
p90p100;1937;
p90p100;1938;
p90p100;1939;
p90p100;1940;0.3556
p90p100;1941;0.3509
p90p100;1942;
p90p100;1943;0.3458
p90p100;1944;0.3402
p90p100;1945;0.334
p90p100;1946;0.334
p90p100;1947;0.3243
p90p100;1948;0.317
p90p100;1949;0.312
p90p100;1950;0.3091
p90p100;1951;0.3075
p90p100;1952;0.3078
p90p100;1953;0.3046
p90p100;1954;0.3049
p90p100;1955;0.3053
p90p100;1956;0.3029
p90p100;1957;0.3041
p90p100;1958;0.3043
p90p100;1959;0.3058
p90p100;1960;0.3045
p90p100;1961;0.3028
p90p100;1962;0.2995
p90p100;1963;0.2991
p90p100;1964;0.2963
p90p100;1965;0.2928
p90p100;1966;0.2924
p90p100;1967;0.2906
p90p100;1968;0.2864
p90p100;1969;0.2877
p90p100;1970;0.2947
p90p100;1971;0.2788
p90p100;1972;0.2729
p90p100;1973;0.2756
p90p100;1974;0.2718
p90p100;1975;0.2664
p90p100;1976;0.2663
p90p100;1977;0.262
p90p100;1978;0.2582
p90p100;1979;0.255
p90p100;1980;0.256
p90p100;1981;0.256
p90p100;1982;0.267
p90p100;1983;0.2703
p90p100;1984;0.284
p90p100;1985;0.282
p90p100;1986;0.2805
p90p100;1987;0.2814
p90p100;1988;0.2882
p90p100;1989;0.2805
p90p100;1990;0.2655
p90p100;1991;0.2716
p90p100;1992;0.2679
p90p100;1993;0.277
p90p100;1994;0.3058
p90p100;1995;0.3149
p90p100;1996;0.3067
p90p100;1997;0.3172
p90p100;1998;0.318
p90p100;1999;0.32
p90p100;2000;0.3108
p90p100;2001;0.2979
p90p100;2002;0.3016
p90p100;2003;0.3124
p90p100;2004;0.3184
p90p100;2005;0.3264
p90p100;2006;0.3378
p90p100;2007;0.3302
p90p100;2008;0.3193
p90p100;2009;0.3049
p90p100;2010;0.3163
p90p100;2011;0.3113
p90p100;2012;0.2999
p90p100;2013;0.3006
p90p100;2014;0.3026
p90p100;2015;0.3109
p90p100;2016;0.2933
p90p100;2017;0.3027
p90p100;2018;0.2964
p90p100;2019;0.3049
p90p100;2020;0.3049
p90p100;2021;0.3019
p90p100;2022;0.2971
p90p100;2023;0.2898
p90p100;2024;0.2898
p99p100;1820;0.2268
p99p100;1821;
p99p100;1822;
p99p100;1823;
p99p100;1824;
p99p100;1825;
p99p100;1826;
p99p100;1827;
p99p100;1828;
p99p100;1829;
p99p100;1830;
p99p100;1831;
p99p100;1832;
p99p100;1833;
p99p100;1834;
p99p100;1835;
p99p100;1836;
p99p100;1837;
p99p100;1838;
p99p100;1839;
p99p100;1840;
p99p100;1841;
p99p100;1842;
p99p100;1843;
p99p100;1844;
p99p100;1845;
p99p100;1846;
p99p100;1847;
p99p100;1848;
p99p100;1849;
p99p100;1850;0.23
p99p100;1851;
p99p100;1852;
p99p100;1853;
p99p100;1854;
p99p100;1855;
p99p100;1856;
p99p100;1857;
p99p100;1858;
p99p100;1859;
p99p100;1860;
p99p100;1861;
p99p100;1862;
p99p100;1863;
p99p100;1864;
p99p100;1865;
p99p100;1866;
p99p100;1867;
p99p100;1868;
p99p100;1869;
p99p100;1870;
p99p100;1871;
p99p100;1872;
p99p100;1873;
p99p100;1874;
p99p100;1875;
p99p100;1876;
p99p100;1877;
p99p100;1878;
p99p100;1879;
p99p100;1880;0.2358
p99p100;1881;
p99p100;1882;
p99p100;1883;
p99p100;1884;
p99p100;1885;
p99p100;1886;
p99p100;1887;
p99p100;1888;
p99p100;1889;
p99p100;1890;
p99p100;1891;
p99p100;1892;
p99p100;1893;
p99p100;1894;
p99p100;1895;
p99p100;1896;
p99p100;1897;
p99p100;1898;
p99p100;1899;
p99p100;1900;0.2379
p99p100;1901;
p99p100;1902;
p99p100;1903;0.2409
p99p100;1904;
p99p100;1905;
p99p100;1906;
p99p100;1907;0.2605
p99p100;1908;
p99p100;1909;
p99p100;1910;0.2604
p99p100;1911;0.2536
p99p100;1912;0.2444
p99p100;1913;
p99p100;1914;
p99p100;1915;
p99p100;1916;0.2267
p99p100;1917;
p99p100;1918;
p99p100;1919;0.1974
p99p100;1920;0.1781
p99p100;1921;
p99p100;1922;
p99p100;1923;
p99p100;1924;
p99p100;1925;
p99p100;1926;
p99p100;1927;
p99p100;1928;
p99p100;1929;
p99p100;1930;0.1589
p99p100;1931;
p99p100;1932;
p99p100;1933;
p99p100;1934;0.1406
p99p100;1935;0.1414
p99p100;1936;
p99p100;1937;
p99p100;1938;
p99p100;1939;
p99p100;1940;0.1222
p99p100;1941;0.1197
p99p100;1942;
p99p100;1943;0.1205
p99p100;1944;0.1167
p99p100;1945;0.1122
p99p100;1946;0.116
p99p100;1947;0.1067
p99p100;1948;0.1008
p99p100;1949;0.0979
p99p100;1950;0.0978
p99p100;1951;0.0953
p99p100;1952;0.0954
p99p100;1953;0.0909
p99p100;1954;0.0909
p99p100;1955;0.0912
p99p100;1956;0.0877
p99p100;1957;0.0888
p99p100;1958;0.0888
p99p100;1959;0.0903
p99p100;1960;0.0884
p99p100;1961;0.0887
p99p100;1962;0.087
p99p100;1963;0.089
p99p100;1964;0.088
p99p100;1965;0.086
p99p100;1966;0.0881
p99p100;1967;0.0883
p99p100;1968;0.0854
p99p100;1969;0.0896
p99p100;1970;0.0832
p99p100;1971;0.0832
p99p100;1972;0.0782
p99p100;1973;0.0841
p99p100;1974;0.0819
p99p100;1975;0.0775
p99p100;1976;0.0798
p99p100;1977;0.0769
p99p100;1978;0.0746
p99p100;1979;0.0729
p99p100;1980;0.072
p99p100;1981;0.0738
p99p100;1982;0.0838
p99p100;1983;0.0869
p99p100;1984;0.0996
p99p100;1985;0.0973
p99p100;1986;0.0954
p99p100;1987;0.0962
p99p100;1988;0.1031
p99p100;1989;0.0965
p99p100;1990;0.0815
p99p100;1991;0.0811
p99p100;1992;0.0785
p99p100;1993;0.0861
p99p100;1994;0.109
p99p100;1995;0.1175
p99p100;1996;0.107
p99p100;1997;0.1156
p99p100;1998;0.117
p99p100;1999;0.1186
p99p100;2000;0.103
p99p100;2001;0.0897
p99p100;2002;0.0937
p99p100;2003;0.1069
p99p100;2004;0.114
p99p100;2005;0.1188
p99p100;2006;0.1305
p99p100;2007;0.1247
p99p100;2008;0.1143
p99p100;2009;0.0994
p99p100;2010;0.1119
p99p100;2011;0.1063
p99p100;2012;0.0999
p99p100;2013;0.0999
p99p100;2014;0.1006
p99p100;2015;0.1058
p99p100;2016;0.092
p99p100;2017;0.1002
p99p100;2018;0.0963
p99p100;2019;0.1039
p99p100;2020;0.1039
p99p100;2021;0.1012
p99p100;2022;0.0974
p99p100;2023;0.0951
p99p100;2024;0.0951
p0p50;1820;0.17
p0p50;1821;
p0p50;1822;
p0p50;1823;
p0p50;1824;
p0p50;1825;
p0p50;1826;
p0p50;1827;
p0p50;1828;
p0p50;1829;
p0p50;1830;
p0p50;1831;
p0p50;1832;
p0p50;1833;
p0p50;1834;
p0p50;1835;
p0p50;1836;
p0p50;1837;
p0p50;1838;
p0p50;1839;
p0p50;1840;
p0p50;1841;
p0p50;1842;
p0p50;1843;
p0p50;1844;
p0p50;1845;
p0p50;1846;
p0p50;1847;
p0p50;1848;
p0p50;1849;
p0p50;1850;0.165
p0p50;1851;
p0p50;1852;
p0p50;1853;
p0p50;1854;
p0p50;1855;
p0p50;1856;
p0p50;1857;
p0p50;1858;
p0p50;1859;
p0p50;1860;
p0p50;1861;
p0p50;1862;
p0p50;1863;
p0p50;1864;
p0p50;1865;
p0p50;1866;
p0p50;1867;
