,Bottom 50,Middle 40,Top 10,Top 1,Top 0.1,Top 0.01,Top 0.001
1980,199175.8,447762.8,958824.2000000001,2697602.9,9434208.3,35534054.4,136653521.4
1981,200351.8,440978.0,951812.2000000001,2743370.4,10009404.7,39478305.7,158995514.6
1982,198681.5,437923.1,999687.2000000001,3137568.9,12510870.2,53607052.8,233788631.2
1983,199364.7,440647.7,1022217.9,3287921.5,13410537.2,58635939.90000001,260692112.2
1984,206103.1,447902.8,1119533.1,3924560.6,17179540.1,79815108.8,375795532.4
1985,209101.7,456605.9,1127754.6,3891149.2,16686973.3,75937692.5,350296553.2
1986,213902.4,470416.1,1150259.6,3912700.7,16417389.5,73022122.9,329253673.2
1987,221534.7,483856.0,1191851.4,4075548.8,17220718.4,77142224.60000001,350290981.6
1988,223122.1,485949.3,1238696.9,4429444.2,19543201.7,91133214.9,430236841.2
1989,228345.6,498974.5,1223189.3,4208754.8,17914764.7,80835740.9,369690725.1
1990,231746.4,506233.9,1150964.9,3534703.2,13374590.0,53992878.90000001,221662019.6
1991,222821.8,493793.0,1151822.8,3440538.8,12144388.5,45244610.6,171122781.6
1992,216782.8,479176.0,1097963.7,3216760.8,11141636.3,40782817.2,151648862.8
1993,204465.5,453510.1,1086870.0,3376423.1,12478912.3,48667331.40000001,192540248.5
1994,205898.7,462087.6,1267482.9,4518730.9,18897362.2,82486799.60000001,363710832.3
1995,212862.5,469369.0,1351910.7,5043382.4,22151377.5,101437772.4,468887752.8
1996,217249.7,482169.8,1333590.6,4654199.600000001,18811618.9,79171787.9,336517420.8
1997,217944.9,489830.2,1416425.3,5160791.4,21787875.3,95621442.9,423483852.0
1998,226461.5,510640.9,1480407.4,5446386.2,23347783.6,104150033.8,468870370.1
1999,234542.4,531635.2000000001,1552570.3,5755298.5,24974340.7,112862862.1,514776358.6
2000,254593.1,549144.9,1564425.7,5184688.600000001,18236184.3,65288444.40000001,234917676.0
2001,260634.5,570293.9,1521033.0,4581014.9,14107504.9,43765855.6,136099729.5
2002,266855.9,579883.6,1578083.3,4902805.600000001,15906530.8,52325202.0,172858891.8
2003,274188.0,599039.9,1711168.1,5856726.9,21867179.3,83700724.30000001,322506421.4
2004,279605.8,608844.9,1790491.4,6411801.5,25663730.3,105865396.7,439977751.2
2005,283779.8,632570.3,1913252.7,6963772.100000001,28047360.0,116061611.8,483480511.6
2006,294290.6,654717.7000000001,2086364.6,8061139.4,34806858.3,154532455.1,690476854.6
2007,299985.4,691426.9,2102875.9,7943087.4,34343593.0,153686309.2,693171577.5
2008,296939.1,693087.1000000001,1996756.9,7150535.300000001,29629235.0,127672242.3,555296235.2
2009,274670.9,660162.8,1760305.2,5738238.4,21428592.9,83316815.2,327425520.1
2010,281296.9,703851.7000000001,1953255.7,6909270.5,29284560.8,130303954.8,586383755.0
2011,289113.3,714459.0,1944931.3,6643128.800000001,26937696.6,114603119.3,493287025.1
2012,301895.8,698717.6000000001,1843746.5,6144003.9,22882006.4,88031761.7,341615825.3
2013,302092.9,703653.4,1858518.7,6177395.300000001,23221922.8,90488473.7,355957188.6
2014,300770.3,716722.2000000001,1896852.7,6304598.600000001,23658097.0,91979625.2,360964647.8
2015,299015.8,720708.4,1975524.6,6719873.600000001,25754393.7,102121660.6,408510235.4
2016,311411.5,742645.8,1879227.3,5894550.300000001,20725384.8,75503955.60000001,277831866.7
2017,317196.0,751538.1000000001,1993786.4,6598125.4,24683596.2,95721860.80000001,374754407.6
2018,321826.0,765334.5,1967198.5,6389430.2,23587432.2,90470238.30000001,350576606.1
2019,323740.0,772230.6000000001,2065348.4,7034437.600000001,27402320.5,110888577.2,453091795.2
2020,315616.0,752852.3,2013520.8,6857915.800000001,26714688.8,108105949.1,441721947.0
2021,339199.3,810630.4,2135368.6,7161125.4,27516935.9,110336129.6,450061164.9
2022,349898.9,834658.9,2151147.6,7053466.300000001,26734452.0,107190957.6,437232006.3
2023,346256.4,825970.1000000001,2054394.4,6744308.5,25990509.6,105625830.5,432680439.3
2024,350587.1,836300.8,2080089.3,6828661.5,26315582.7,106946927.1,438092119.2
