,Bottom 50,Middle 40,Top 10,Top 1,Top 0.1,Top 0.01,Top 0.001
1980,166335.8,496766.5,3355765.4,10947386.6,41208038.2,172110704.1,833548918.7
1981,156928.8,468682.3,3147804.8,10327486.6,38652035.2,161430178.9,781793291.2
1982,153410.9,458053.3,3083383.4,10105693.6,37889730.0,158309671.5,767041523.1
1983,151374.8,451906.9,3033943.9,9976923.700000001,37298025.7,155872347.3,755431196.6
1984,154476.5,460944.0,3031127.1,9710235.3,36986613.8,144865363.7,610503141.8000001
1985,157670.8,470702.6,3028140.0,9458695.5,36859382.2,136096171.2,489737795.8
1986,164624.1,491467.4,3304783.3,10465615.2,40922253.2,156361245.2,604261251.3000001
1987,175167.8,522980.9,3691548.9,11821482.8,46590141.2,184472522.9,763405642.6
1988,180358.0,538431.6,4066251.9,13969533.1,61236166.1,311109579.5,1938357861.0
1989,188521.4,562641.5,4552880.600000001,17095864.0,82960272.30000001,465053865.5,3250494911.5
1990,181758.1,542611.3,4640743.7,18631542.0,94953337.80000001,544310724.9,3907684342.0
1991,166205.6,496092.7,4197182.100000001,16305905.4,83214331.80000001,478700605.5,3455506115.9
1992,161261.5,481422.4,3956198.8,14888436.2,73959431.0,416642036.9,2957164173.9
1993,136072.9,515220.5,4027858.4,14976361.1,71213213.0,380877662.2,2574434926.7
1994,110349.5,552973.4,4259592.100000001,16449563.6,81216611.60000001,468097794.9,3402683737.7
1995,81963.5,585067.9,4354095.7,16942856.1,82704929.80000001,476308825.9,3465044337.0
1996,57974.8,676840.9,4809958.3,18656087.6,88826003.0,502354757.7,3604978632.7
1997,28522.1,805457.9,5532524.7,21564355.0,100876481.2,565142987.2,4026275349.1
1998,-10143.1,955397.4,6246853.100000001,23990833.3,106421422.3,559975554.9,3762192064.0
1999,-58770.7,1108062.9,7271146.5,29793852.6,145967367.8,898673516.1,6952598560.3
2000,-113500.6,1241045.1,7794784.9,31874550.6,152891584.6,931877650.7,7169567368.1
2001,-100717.0,1228964.8,7630783.800000001,32085568.7,165592377.1,1110798101.8,9194057948.5
2002,-129939.9,1240667.3,7853815.7,33154381.4,173183110.9,1179252375.3,9864373866.800001
2003,-156017.0,1351029.3,8436196.4,35335075.4,184388457.6,1261586691.4,10609082263.4
2004,-164619.6,1476031.9,9386299.3,40150880.2,213786083.1,1481774004.5,12524729729.2
2005,-174817.2,1686083.9,10417848.0,44495013.2,238101128.8,1664120887.1,14156633522.3
2006,-201673.7,1920677.6,11811946.9,49733440.6,259514109.0,1768093426.5,14804780009.9
2007,-136433.8,2074427.1,11927873.1,49366974.40000001,261723792.1,1847711645.9,15924061580.9
2008,-169117.1,2096841.6,11535678.9,46175188.1,239360110.1,1678698638.4,14488854079.5
2009,-347860.1,2014135.9,12833135.1,53298286.8,275637485.4,1873741899.6,15710199668.7
2010,-379671.1,2230806.8,13693158.5,56227419.2,292074801.9,2016113931.4,17132404415.1
2011,-396962.4,2304771.0,13755458.4,54071119.8,263349926.9,1712008352.9,14058569465.1
2012,-454736.2,2224900.8,14000004.4,54875721.6,263231076.0,1674592007.4,13533515219.8
2013,-471303.8,2305059.8,14624661.1,58029835.7,284311258.4,1850172086.4,15170643392.6
2014,-500155.4,2445113.8,15876141.8,65154783.0,337373621.2,2319626004.2,19659351378.6
2015,-544812.2000000001,2654584.5,17167090.6,69795547.7,355169991.3,2400204316.9,20133006301.1
2016,-589439.2000000001,2889412.8,18338949.9,72996122.9,360211761.8,2362674914.7,19472528793.4
2017,-619717.7000000001,3029789.3,19261050.2,76625487.4,376988228.2,2463849262.2,20256396266.0
2018,-621572.5,3043824.0,19486329.6,78482155.3,394711667.3,2638983741.9,22003603587.6
2019,-647081.0,3160642.5,20204572.5,80968505.30000001,403042758.6,2665652105.7,22075581136.3
2020,-711201.9,3473770.3,21667947.2,83605213.9,389110904.9,2391071515.1,18875722418.0
2021,-755227.3,3692503.3,23859427.8,97245400.0,498081998.7,3389280571.4,28552878428.0
2022,-741178.2000000001,3628197.0,23151781.1,92755075.7,462286808.5,3062532696.1,25392671911.1
2023,-683201.9,3350123.0,21232152.5,84356536.9,415075019.5,2714537173.6,22332258230.8
2024,-687346.0,3370380.3,21562975.2,86904105.30000001,437918063.7,2934334916.3,24501271536.8
